1;RIFLE;Laco DNA Toner;1000;100000;Hỗn hợp cân bằng độ ẩm cho làn da;INSTOCK
2;TANK;Laco Body Wash;498;200000;Sữa tắm với hương thơm men rượu Sake;INSTOCK
3;PISTOL;Laco Shampoo;1500;150000;Dầu gội phủ bạc Laco;INSTOCK
4;AIRPLANE;Laco Lipstick;2000;50000;Son sáp laco giảm khô môi;INSTOCK
5;SABER;Collagen;600;800000;Giúp xây dựng các khối xương, da, cơ, gân và dây chằng trong cơ thể;INSTOCK
6;RIFLE;Laco Face Wash;1000;300000;Bổ sung DNA cá hồi cùng chiết xuất hoa hồng và lô hội, giúp da sạch sẽ, tươi tắn, ngăn ngừa lão hóa và hồng hào thêm mỗi ngày;INSTOCK
7;TANK;Laco Skin Exfoliating Scrub;1000;300000;Tẩy Da chết giúp làm sạch da, bã nhờn, lớp biểu bì và tế bào chết trên da;INSTOCK
8;PISTOL; Laco Black Hair;1000;300000;Tóc đen ngay sau khi gội, thao tác cực đơn giản dễ dàng;INSTOCK
9;SABER;Collagen 82x;1000;2300000;Công thức thông minh kết hợp hài hòa các thành phần, bổ trợ tác dụng cho nhau 1 cách hoàn hảo;INSTOCK
10;AIRPLANE;Vaseline Lipstick;1000;50000;Giúp bảo vệ và giữ ẩm cho đôi môi luôn căng mọng đầy sức quyến rũ;INSTOCK
11;TANK;M1 Abrahams;2;10000000;Tank Mỹ;INSTOCK
